"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780417063922017E9,"2026-06-02 6:17:43.922 UTC+02:00"
"PAUSE",3.429184629165684E1,1.780417098214353E9,"2026-06-02 6:18:18.214 UTC+02:00"
